episode,step,return,length
402,94156,89.68,1000
403,95156,95.56,1000
404,95381,-47.01,225
405,96381,52.89,1000
406,97381,105.14,1000
407,97925,178.06,544
408,98925,139.07,1000
409,99925,124.36,1000
410,100925,122.21,1000
411,101925,124.43,1000
412,102925,119.05,1000
413,103394,171.11,469
414,103706,-30.72,312
415,104706,122.65,1000
416,105105,212.49,399
417,105436,-30.59,331
418,106436,111.14,1000
419,107436,81.39,1000
420,108436,107.46,1000
421,108728,-13.47,292
422,109120,174.88,392
423,109465,-45.53,345
424,110465,106.38,1000
425,111465,91.82,1000
426,111764,2.18,299
427,112764,89.88,1000
428,113764,134.36,1000
429,114588,165.17,824
430,115588,104.6,1000
431,115945,-14.15,357
432,116945,106.3,1000
433,117945,110.46,1000
434,118317,7.26,372
435,118669,-61.47,352
436,119036,224.8,367
437,119570,-41.66,534
438,120570,125.86,1000
439,121570,100.91,1000
440,122570,114.99,1000
441,123570,81.03,1000
442,124570,149.66,1000
443,125570,83.29,1000
444,125900,-25.81,330
445,126900,71.64,1000
446,127900,145.41,1000
447,128270,205.41,370
448,128759,223.22,489
449,129759,90.02,1000
450,130759,130.8,1000
451,131759,65.78,1000
452,132759,132.41,1000
453,133759,109.63,1000
454,133934,-17.29,175
455,134934,108.84,1000
456,135934,97.09,1000
457,136934,147.03,1000
458,137934,97.21,1000
459,138934,117.82,1000
460,139934,140.6,1000
461,140934,147.75,1000
462,141186,38.49,252
463,141450,-2.69,264
464,142450,138.51,1000
465,143450,82.47,1000
466,144450,139.78,1000
467,145450,73.58,1000
468,146450,135.42,1000
469,147450,115.12,1000
470,147834,-28.18,384
471,148119,-49.82,285
472,148635,186.25,516
473,149635,117.37,1000
474,150635,83.95,1000
475,151635,98.24,1000
476,152635,119.59,1000
477,153635,126.49,1000
478,154635,140.89,1000
479,155635,116.53,1000
480,155807,-29.37,172
481,156183,-53.8,376
482,157183,93.68,1000
483,157351,14.45,168
484,158351,138.83,1000
485,158538,-16.01,187
486,159538,158.8,1000
487,159782,23.08,244
488,159977,-8.21,195
489,160444,-89.31,467
490,160679,-58.13,235
491,161331,233.16,652
492,161845,244.74,514
493,162248,229.92,403
494,163248,117.14,1000
495,163999,194.29,751
496,164465,-68.91,466
497,164731,9.14,266
498,164891,1.67,160
499,165116,-18.93,225
500,165314,-9.66,198
501,165616,238.8,302
502,165814,5.96,198
503,166213,218.44,399
504,166682,-67.59,469
505,166895,-19.99,213
506,167895,-0.73,1000
